Year,Catch,CPUE
1950,3746.0,
1951,2781.0,
1952,3193.0,
1953,3503.0,
1954,3134.0,
1955,3602.0,
1956,3358.0,
1957,4578.0,
1958,4904.0,
1959,6232.0,
1960,3828.0,
1961,4381.0,
1962,5342.0,
1963,10180.0,1398.86
1964,11258.0,501.05
1965,8652.0,314.35
1966,9349.0,293.67
1967,9107.0,351.31
1968,9172.0,284.72
1969,9203.0,258.54
1970,9495.0,296.39
1971,5266.0,
1972,4766.0,
1973,6074.0,
1974,6362.0,
1975,8839.0,433.51
1976,6696.0,372.42
1977,6409.0,392.43
1978,11835.0,627.49
1979,11937.0,355.6
1980,13558.0,478.38
1981,11180.0,333.95
1982,13215.0,385.78
1983,14527.0,280.03
1984,12791.0,276.91
1985,14383.0,266.85
1986,18486.0,256.75
1987,20236.0,235.11
1988,19513.0,232.53
1989,17250.0,222.13
1990,15672.0,209.34
1991,14937.0,217.24
1992,15394.0,201.22
1993,16772.0,183.19
1994,15235.0,166.63
1995,16618.0,176.71
1996,14921.0,142.68
1997,12913.0,147.61
1998,12175.0,165.24
1999,11770.0,
